Country,2017,2016,2015,2014,2013,2012,2011
Afghanistan,73,73,67,58,62,67,68
Albania,99,98,99,98,99,99,99
Algeria,91,91,95,95,95,95,95
Andorra,99,98,97,97,96,99,99
Angola,47,53,57,55,48,54,50
Antigua and Barbuda,94,87,86,96,98,97,99
Argentina,84,87,93,92,90,90,93
Armenia,96,96,96,95,96,96,96
Australia,95,94,93,92,91,92,92
Austria,90,87,93,98,95,92,89
Azerbaijan,97,98,98,97,96,92,91
Bahamas,94,94,95,96,97,99,97
Bahrain,98,99,98,98,99,99,99
Bangladesh,98,98,98,97,96,94,96
Barbados,91,97,97,95,91,88,91
Belarus,98,98,99,97,98,98,98
Belgium,98,98,99,99,99,99,98
Belize,88,96,94,95,95,98,95
Benin,75,75,72,71,73,80,77
Bhutan,97,97,98,98,97,97,95
Bolivia (Plurinational State of),83,87,88,85,88,93,95
Bosnia and Herzegovina,75,79,74,86,87,87,89
Botswana,96,96,96,96,96,96,96
Brazil,75,72,98,96,96,96,98
Brunei Darussalam,99,99,99,99,99,92,96
Bulgaria,92,92,91,88,95,95,95
Burkina Faso,91,91,91,91,89,90,90
Burundi,91,94,94,95,96,96,95
Cabo Verde,96,95,93,95,93,94,90
Cambodia,91,91,92,92,71,90,91
Cameroon,84,83,83,86,88,85,80
Canada,91,91,91,91,91,91,87
Central African Republic,47,47,47,47,23,47,47
Chad,44,44,52,44,46,51,40
Chile,93,95,96,95,90,90,93
China,99,99,99,99,99,99,99
Colombia,92,91,91,90,91,91,85
Comoros,94,92,92,87,85,85,85
Congo,69,71,80,90,85,68,72
Cook Islands,99,99,99,99,98,98,93
Costa Rica,96,97,92,91,95,90,82
Côte d'Ivoire,82,71,74,71,74,83,58
Croatia,92,93,94,95,96,96,96
Cuba,98,98,99,99,99,98,99
Cyprus,97,97,97,99,99,99,99
Czechia,94,96,97,99,99,99,99
Democratic People's Republic of Korea,99,99,99,99,99,99,99
Democratic Republic of the Congo,79,74,78,79,74,76,77
Denmark,98,94,93,94,94,94,91
Djibouti,76,68,84,78,82,81,87
Dominica,91,99,98,97,96,97,98
Dominican Republic,80,82,87,90,82,85,84
Ecuador,83,79,84,84,87,85,85
Egypt,94,95,93,94,97,93,96
